epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,9028.49,0.86538,1.18062,0.40782,0.80886,0.97987,0.92776,0.97014,0.67514,0.71975,0.70722,0.61622,0.25052,0.94415,1.31042,0.453,0.84658,0.000429253,0.000429253,0.000429253
77,9146.56,0.77107,1.16792,0.37546,0.80037,0.96804,0.93916,0.96821,0.66702,0.7393,0.71483,0.62399,0.24766,0.96084,1.32222,0.46291,0.84742,0.000412749,0.000412749,0.000412749
78,9264.63,0.80404,1.18918,0.38204,0.7998,0.96226,0.94297,0.96775,0.67531,0.75212,0.74144,0.65227,0.25831,0.95675,1.28182,0.46114,0.84753,0.000396246,0.000396246,0.000396246
79,9383.86,0.81321,1.1192,0.39322,0.81175,0.96115,0.94677,0.96685,0.68644,0.75262,0.74144,0.66359,0.27017,0.93781,1.20147,0.45928,0.84969,0.000379743,0.000379743,0.000379743
80,9502.37,0.76638,1.06339,0.37928,0.79954,0.97783,0.93916,0.96615,0.68829,0.75468,0.72624,0.65802,0.27635,0.94054,1.17735,0.45338,0.84714,0.000363239,0.000363239,0.000363239
81,9620.82,0.81232,1.20333,0.3828,0.80176,0.97114,0.94297,0.96888,0.6923,0.72962,0.71483,0.63906,0.26538,0.92962,1.14006,0.44739,0.85279,0.000346736,0.000346736,0.000346736
82,9739.28,0.82326,1.19806,0.39129,0.79178,0.96881,0.93916,0.97197,0.69153,0.73926,0.71483,0.64045,0.26386,0.92863,1.16518,0.44434,0.854,0.000330233,0.000330233,0.000330233
83,9857.5,0.78945,1.09617,0.38065,0.80536,0.97155,0.93536,0.97163,0.69459,0.74566,0.71345,0.63861,0.26327,0.93693,1.1922,0.44915,0.85657,0.000313729,0.000313729,0.000313729
84,9974.75,0.78277,1.1209,0.38416,0.80324,0.96092,0.93916,0.97173,0.70423,0.74735,0.71982,0.66723,0.27279,0.90735,1.17357,0.44828,0.85055,0.000297226,0.000297226,0.000297226
85,10092.6,0.75295,1.03198,0.38597,0.79478,0.97731,0.92776,0.97352,0.70531,0.75001,0.73384,0.67773,0.27504,0.89691,1.17323,0.44128,0.84418,0.000280723,0.000280723,0.000280723
86,10211.8,0.76998,1.0817,0.37922,0.80476,0.97542,0.93156,0.97381,0.70597,0.75995,0.72624,0.67704,0.2723,0.89579,1.17947,0.44296,0.84318,0.00026422,0.00026422,0.00026422
87,10329.5,0.7977,1.10173,0.38388,0.7961,0.97995,0.92904,0.97419,0.70974,0.75981,0.72168,0.67158,0.27395,0.88081,1.17905,0.44083,0.84354,0.000247716,0.000247716,0.000247716
88,10448.6,0.73082,1.11589,0.35779,0.79946,0.97673,0.92776,0.97227,0.71286,0.75147,0.72624,0.65893,0.25768,0.86329,1.15827,0.43982,0.84743,0.000231213,0.000231213,0.000231213
89,10566.4,0.74092,1.05614,0.36417,0.80987,0.97606,0.92999,0.97291,0.71337,0.76205,0.72624,0.67971,0.2787,0.85957,1.13494,0.43382,0.85114,0.00021471,0.00021471,0.00021471
90,10683.5,0.70862,1.06427,0.36237,0.78877,0.97186,0.93536,0.97244,0.7159,0.75758,0.73004,0.67969,0.28,0.86381,1.09987,0.42957,0.85093,0.000198206,0.000198206,0.000198206
91,10799.1,0.69678,1.00108,0.36354,0.7965,0.97396,0.93536,0.97223,0.71571,0.74852,0.71863,0.66479,0.2773,0.87026,1.11499,0.4344,0.85112,0.000181703,0.000181703,0.000181703
92,10913.4,0.7292,1.11358,0.35824,0.79721,0.97442,0.93536,0.97455,0.71815,0.74999,0.7186,0.66613,0.27503,0.87892,1.10482,0.43409,0.84981,0.0001652,0.0001652,0.0001652
93,11028,0.68742,1.03072,0.35387,0.79526,0.9722,0.93156,0.97506,0.71972,0.76335,0.70722,0.6626,0.27587,0.87014,1.10903,0.42953,0.84925,0.000148696,0.000148696,0.000148696
94,11142.1,0.70606,1.062,0.3522,0.79585,0.96658,0.93916,0.97543,0.72181,0.77034,0.71423,0.67732,0.28255,0.85867,1.11498,0.42774,0.84891,0.000132193,0.000132193,0.000132193
95,11255.8,0.70183,1.04785,0.35321,0.79546,0.96689,0.93916,0.97379,0.72214,0.77478,0.73248,0.69133,0.28825,0.85883,1.11852,0.42911,0.8492,0.00011569,0.00011569,0.00011569
96,11370.9,0.68803,1.05708,0.3458,0.78794,0.97331,0.93916,0.97384,0.72315,0.77732,0.73001,0.68442,0.28573,0.85682,1.12713,0.43429,0.84876,9.91865e-05,9.91865e-05,9.91865e-05
97,11485.8,0.67387,0.99692,0.34519,0.79416,0.97245,0.93959,0.97227,0.72275,0.77954,0.73384,0.69224,0.28761,0.85335,1.14099,0.43182,0.84719,8.26832e-05,8.26832e-05,8.26832e-05
98,11599.7,0.68024,1.0452,0.33459,0.7959,0.96866,0.94011,0.97228,0.72392,0.77928,0.73384,0.6943,0.28813,0.85117,1.14377,0.42073,0.84394,6.61799e-05,6.61799e-05,6.61799e-05
99,11714.8,0.69539,0.99389,0.34917,0.79619,0.96738,0.94297,0.97256,0.72349,0.789,0.73932,0.70032,0.28939,0.85111,1.1447,0.41687,0.84237,4.96766e-05,4.96766e-05,4.96766e-05
100,11829.9,0.66671,0.9805,0.34478,0.79728,0.96535,0.94297,0.97244,0.72463,0.78603,0.73764,0.69869,0.28666,0.85227,1.14343,0.41714,0.84246,3.31733e-05,3.31733e-05,3.31733e-05
