epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,2004.23,1.00354,1.97323,0.57963,0.94324,0.96621,0.95817,0.98936,0.63341,0.94679,0.93916,0.96512,0.45214,1.23338,1.93382,0.61457,0.97685,0.00137324,0.00137324,0.00137324
91,2026.14,1.01078,2.01321,0.64744,0.99995,0.98337,0.94677,0.98907,0.67911,0.96627,0.93156,0.96707,0.40138,1.10588,2.04948,0.58781,0.94763,0.00136994,0.00136994,0.00136994
92,2048.12,1.02913,1.94077,0.61016,1.0069,0.98523,0.93916,0.98416,0.67727,0.97193,0.92171,0.95544,0.43105,1.09054,1.9372,0.5869,0.94365,0.00136664,0.00136664,0.00136664
93,2070.23,0.99815,1.88352,0.63141,0.99797,0.99179,0.93916,0.98309,0.68926,0.96035,0.91255,0.9373,0.42516,1.05122,1.96106,0.57667,0.93695,0.00136334,0.00136334,0.00136334
94,2092.41,0.99843,1.85179,0.58201,0.94915,0.98033,0.93916,0.98629,0.68403,0.95827,0.91635,0.9453,0.41167,1.09343,1.96916,0.57887,0.94237,0.00136004,0.00136004,0.00136004
95,2114.62,0.98555,1.85453,0.62306,1.01346,0.97421,0.93916,0.98609,0.68023,0.97086,0.91255,0.94943,0.44014,1.08394,1.89874,0.59002,0.94053,0.00135674,0.00135674,0.00135674
96,2136.71,0.97412,1.90336,0.61542,0.99252,0.96696,0.94677,0.98793,0.68217,0.95143,0.93156,0.96293,0.44709,1.05853,1.96534,0.57985,0.94041,0.00135344,0.00135344,0.00135344
97,2158.94,1.01759,1.84326,0.65995,1.0277,0.96883,0.94538,0.98973,0.68928,0.95324,0.93017,0.971,0.46987,1.0582,1.91905,0.57269,0.93428,0.00135014,0.00135014,0.00135014
98,2181.17,1.0669,1.7768,0.68202,1.07367,0.97911,0.93156,0.98788,0.7005,0.9589,0.91255,0.94635,0.42801,1.03342,1.88851,0.56562,0.92926,0.00134684,0.00134684,0.00134684
99,2203.22,0.98419,1.96382,0.59394,0.94587,0.98384,0.92599,0.9846,0.69747,0.95961,0.90339,0.94293,0.4291,1.04076,1.88944,0.56413,0.93219,0.00134354,0.00134354,0.00134354
100,2225.36,0.96194,1.86304,0.57998,0.95234,0.98136,0.92395,0.98103,0.67417,0.95528,0.89734,0.93905,0.45751,1.09159,1.98852,0.59436,0.93524,0.00134023,0.00134023,0.00134023
101,2247.42,1.051,1.9616,0.67981,1.02818,0.98007,0.93503,0.97825,0.68651,0.95206,0.90605,0.9366,0.43881,1.03786,1.90635,0.61231,0.93241,0.00133693,0.00133693,0.00133693
102,2269.99,0.91192,1.90971,0.53434,0.91584,0.9756,0.95057,0.98353,0.68064,0.95636,0.92776,0.94748,0.44024,1.04382,1.89251,0.57797,0.93147,0.00133363,0.00133363,0.00133363
103,2292.16,0.9543,1.86821,0.5654,0.95066,0.9852,0.95057,0.99033,0.68271,0.97329,0.93916,0.97717,0.46534,1.04726,1.87447,0.57594,0.93029,0.00133033,0.00133033,0.00133033
104,2314.24,0.94814,1.87681,0.55776,0.96015,0.98093,0.95057,0.99001,0.67133,0.96112,0.93156,0.95654,0.44519,1.04925,1.95509,0.575,0.93303,0.00132703,0.00132703,0.00132703
105,2336.27,1.01502,1.80647,0.69954,1.01883,0.98093,0.95057,0.99001,0.67133,0.96112,0.93156,0.95654,0.44519,1.04925,1.95509,0.575,0.93303,0.00132373,0.00132373,0.00132373
106,2358.53,0.89266,1.75084,0.53655,0.92408,0.98034,0.94814,0.99003,0.6646,0.96465,0.93393,0.9705,0.45925,1.04541,1.87973,0.57879,0.9365,0.00132043,0.00132043,0.00132043
107,2380.77,0.95359,1.89126,0.59368,0.99832,0.9782,0.93916,0.98733,0.6818,0.95682,0.91255,0.94675,0.43685,1.03178,1.88026,0.57339,0.93206,0.00131713,0.00131713,0.00131713
108,2402.86,0.95258,1.77622,0.58117,0.95435,0.98343,0.92776,0.98598,0.68684,0.97219,0.91635,0.96636,0.45761,1.05634,1.9549,0.58295,0.93449,0.00131383,0.00131383,0.00131383
109,2425.11,0.96999,1.74286,0.59842,0.95572,0.97163,0.91158,0.98346,0.69403,0.96353,0.90398,0.95988,0.48362,1.02772,1.89207,0.57659,0.92606,0.00131053,0.00131053,0.00131053
110,2447.51,0.92782,1.92374,0.54081,0.92844,0.97333,0.93536,0.98373,0.68365,0.95355,0.91635,0.94204,0.45006,1.04345,1.8604,0.56851,0.92666,0.00130723,0.00130723,0.00130723
111,2469.81,0.89802,1.68847,0.5438,0.95191,0.97644,0.94531,0.98484,0.67442,0.96466,0.93403,0.95896,0.44294,1.06303,1.94217,0.57358,0.93525,0.00130393,0.00130393,0.00130393
112,2491.92,0.90187,1.79095,0.54621,0.92367,0.98326,0.95057,0.98501,0.67509,0.97536,0.94297,0.96797,0.49358,1.04853,1.8276,0.57618,0.93067,0.00130063,0.00130063,0.00130063
113,2514.09,1.03589,1.77148,0.69232,1.02659,0.9805,0.95611,0.98287,0.68857,0.96881,0.94476,0.95747,0.47842,1.00074,1.82542,0.57856,0.9269,0.00129733,0.00129733,0.00129733
114,2536.16,0.92415,1.76621,0.57967,0.97948,0.96911,0.95434,0.98593,0.70515,0.95254,0.94297,0.95025,0.43667,0.97985,1.79453,0.55796,0.92577,0.00129403,0.00129403,0.00129403
115,2558.29,0.92404,1.77155,0.58366,0.97765,0.98088,0.93916,0.98653,0.68648,0.97178,0.93156,0.97114,0.48234,1.00382,1.74822,0.56747,0.92879,0.00129072,0.00129072,0.00129072
116,2580.5,0.90881,1.74793,0.54047,0.92424,0.98384,0.92614,0.98318,0.68728,0.96653,0.91255,0.96495,0.46382,1.04849,1.93211,0.60587,0.9236,0.00128742,0.00128742,0.00128742
117,2602.69,0.88429,1.72327,0.51248,0.89436,0.9838,0.9234,0.98474,0.69865,0.97975,0.9196,0.97729,0.4825,1.00347,1.79631,0.59101,0.91491,0.00128412,0.00128412,0.00128412
118,2625.09,0.93462,1.70028,0.59907,0.97424,0.984,0.92395,0.98785,0.71295,0.97172,0.91447,0.97519,0.49481,0.98081,1.75529,0.56283,0.91204,0.00128082,0.00128082,0.00128082
119,2647.6,0.81603,1.74282,0.49066,0.89171,0.98808,0.94541,0.98993,0.69319,0.96821,0.92656,0.9552,0.45208,0.98315,1.88905,0.54624,0.91792,0.00127752,0.00127752,0.00127752
120,2669.75,0.85579,1.69531,0.51238,0.92628,0.98631,0.94677,0.98905,0.70469,0.97436,0.93536,0.96713,0.47762,0.97878,1.7726,0.55478,0.9188,0.00127422,0.00127422,0.00127422
121,2691.73,0.8955,1.5471,0.54637,0.96395,0.98631,0.94677,0.98905,0.70469,0.97436,0.93536,0.96713,0.47762,0.97878,1.7726,0.55478,0.9188,0.00127092,0.00127092,0.00127092
122,2713.77,0.88595,1.79669,0.54801,0.93699,0.97307,0.96172,0.98873,0.70068,0.9707,0.93916,0.96134,0.49221,0.99858,1.79491,0.54842,0.91929,0.00126762,0.00126762,0.00126762
123,2736.08,0.93704,1.79079,0.54068,0.92352,0.97661,0.95271,0.98845,0.68557,0.95707,0.93237,0.9501,0.44128,1.02584,1.87084,0.55503,0.92838,0.00126432,0.00126432,0.00126432
124,2758.59,0.85992,1.57169,0.53665,0.93032,0.97655,0.94989,0.98627,0.69083,0.96081,0.93221,0.95897,0.46162,1.0131,1.81509,0.56573,0.91977,0.00126102,0.00126102,0.00126102
125,2780.75,0.89416,1.75423,0.53203,0.93139,0.97202,0.95437,0.98486,0.67825,0.94895,0.91887,0.93413,0.49031,1.04799,1.77629,0.57425,0.92056,0.00125772,0.00125772,0.00125772
126,2802.79,0.92053,1.62233,0.62056,0.98578,0.96157,0.95136,0.98589,0.70017,0.95207,0.92395,0.94804,0.49416,0.976,1.70793,0.55879,0.91178,0.00125442,0.00125442,0.00125442
127,2824.85,0.89553,1.73941,0.50082,0.92226,0.9765,0.9479,0.98784,0.69572,0.96475,0.9365,0.96887,0.43729,1.01643,1.85157,0.54504,0.92331,0.00125112,0.00125112,0.00125112
128,2846.99,0.97236,1.70946,0.59048,0.98615,0.96796,0.95057,0.98741,0.71164,0.95616,0.93916,0.96635,0.45479,0.98346,1.75431,0.54136,0.91986,0.00124782,0.00124782,0.00124782
129,2869.08,0.85048,1.74501,0.508,0.91332,0.97202,0.95817,0.98757,0.69701,0.96045,0.94677,0.96431,0.49443,0.98319,1.74532,0.53916,0.91216,0.00124452,0.00124452,0.00124452
