epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,8326.32,0.75792,1.06616,0.59021,0.82576,0.95111,0.96158,0.98926,0.74411,0.94904,0.92046,0.95908,0.49803,0.87694,1.19182,0.64441,0.84748,0.000775822,0.000775822,0.000775822
56,8467.8,0.77639,1.12136,0.60218,0.82554,0.95135,0.96578,0.98965,0.75723,0.93409,0.94677,0.96128,0.51022,0.85228,1.15363,0.63561,0.84588,0.000759318,0.000759318,0.000759318
57,8606.33,0.77514,1.05253,0.61655,0.82802,0.95793,0.96578,0.99012,0.76917,0.93832,0.92543,0.95073,0.49432,0.82787,1.13182,0.62339,0.84321,0.000742815,0.000742815,0.000742815
58,8747.74,0.70969,0.9561,0.57325,0.82296,0.95194,0.97898,0.99094,0.75588,0.92237,0.94869,0.95593,0.49706,0.83481,1.13049,0.60728,0.84148,0.000726312,0.000726312,0.000726312
59,8888.37,0.73625,1.04472,0.56459,0.82583,0.95534,0.98099,0.99107,0.75365,0.92942,0.95437,0.96126,0.52826,0.85112,1.09718,0.60643,0.84185,0.000709809,0.000709809,0.000709809
60,9028.57,0.73818,0.98776,0.57016,0.82612,0.96984,0.98099,0.99129,0.7549,0.95104,0.96198,0.97602,0.54955,0.83453,1.08242,0.59609,0.84042,0.000693305,0.000693305,0.000693305
61,9169.81,0.75975,1.02618,0.57345,0.82526,0.96267,0.98044,0.99065,0.76158,0.95358,0.93725,0.9542,0.50206,0.83443,1.08596,0.604,0.8389,0.000676802,0.000676802,0.000676802
62,9308.01,0.74178,0.9925,0.57162,0.82984,0.96867,0.98099,0.99112,0.75887,0.94981,0.96198,0.96644,0.50156,0.85614,1.1122,0.60675,0.84227,0.000660299,0.000660299,0.000660299
63,9446.9,0.73377,1.00964,0.55576,0.82538,0.97197,0.98099,0.99197,0.75976,0.95314,0.96198,0.97001,0.54592,0.84297,1.07836,0.61127,0.84209,0.000643795,0.000643795,0.000643795
64,9582.43,0.70277,0.97063,0.5673,0.82242,0.97651,0.98099,0.99234,0.75269,0.95759,0.96198,0.9751,0.53572,0.85724,1.09854,0.61245,0.84311,0.000627292,0.000627292,0.000627292
65,9722.64,0.70076,0.9503,0.55593,0.82643,0.97351,0.97795,0.99251,0.74653,0.94705,0.95202,0.96096,0.4977,0.87128,1.14928,0.613,0.84035,0.000610789,0.000610789,0.000610789
66,9860.32,0.71016,0.98828,0.55772,0.81661,0.98016,0.97338,0.99262,0.75773,0.95694,0.95057,0.96302,0.48702,0.83516,1.1194,0.6047,0.83535,0.000594286,0.000594286,0.000594286
67,10004.4,0.70524,0.98227,0.55651,0.81932,0.97707,0.97228,0.99212,0.77867,0.95797,0.95327,0.96907,0.51035,0.78825,1.08026,0.59031,0.83246,0.000577782,0.000577782,0.000577782
68,10143.8,0.75915,1.04556,0.57553,0.82271,0.98083,0.96198,0.99236,0.78311,0.95741,0.93916,0.96621,0.53318,0.78078,1.07115,0.5802,0.83217,0.000561279,0.000561279,0.000561279
69,10281.3,0.70843,0.93719,0.5504,0.82382,0.97976,0.96578,0.99175,0.77125,0.96433,0.95057,0.9737,0.50983,0.80984,1.11159,0.58482,0.83386,0.000544776,0.000544776,0.000544776
70,10418.2,0.73577,1.03867,0.55938,0.82481,0.98066,0.96405,0.99127,0.77697,0.9536,0.93765,0.95758,0.49017,0.8087,1.12034,0.58376,0.83356,0.000528272,0.000528272,0.000528272
71,10554.5,0.70123,0.95765,0.53768,0.81762,0.97416,0.96198,0.99166,0.78747,0.94695,0.93536,0.95873,0.50475,0.78264,1.06781,0.57461,0.83096,0.000511769,0.000511769,0.000511769
72,10691.5,0.69785,0.97971,0.53323,0.81152,0.96627,0.98024,0.99223,0.78752,0.96522,0.95057,0.97215,0.5293,0.78345,1.06603,0.5694,0.83016,0.000495266,0.000495266,0.000495266
73,10823.8,0.72439,0.98581,0.55488,0.8164,0.96523,0.98099,0.9927,0.78001,0.94269,0.95817,0.97072,0.52359,0.78912,1.07422,0.56606,0.83122,0.000478762,0.000478762,0.000478762
74,10959.9,0.71756,1.02285,0.53518,0.815,0.96251,0.97622,0.99273,0.76619,0.9363,0.95011,0.96173,0.48317,0.85041,1.13984,0.57803,0.83547,0.000462259,0.000462259,0.000462259
75,11100.1,0.70505,0.9952,0.53375,0.81545,0.97746,0.96198,0.99234,0.75138,0.93247,0.94505,0.95916,0.47478,0.89024,1.19394,0.58539,0.83907,0.000445756,0.000445756,0.000445756
76,11231.4,0.75502,0.99132,0.56771,0.82391,0.97327,0.9693,0.99241,0.77224,0.94995,0.94677,0.96966,0.49309,0.84247,1.13587,0.5736,0.83598,0.000429253,0.000429253,0.000429253
77,11371.2,0.62894,0.88106,0.52336,0.81015,0.97229,0.97338,0.9928,0.7905,0.95323,0.95437,0.97593,0.5184,0.78033,1.05921,0.55316,0.83056,0.000412749,0.000412749,0.000412749
78,11518.5,0.64935,0.90277,0.51334,0.81625,0.97312,0.97338,0.99267,0.79057,0.95791,0.95817,0.97637,0.53581,0.77925,1.04808,0.5491,0.82978,0.000396246,0.000396246,0.000396246
79,11659.8,0.69912,0.95791,0.53553,0.8179,0.98278,0.96198,0.99251,0.77937,0.96409,0.94297,0.96922,0.52156,0.7767,1.05318,0.54493,0.82969,0.000379743,0.000379743,0.000379743
80,11800.4,0.64413,0.89766,0.50662,0.81697,0.98214,0.96198,0.99208,0.77116,0.95294,0.92385,0.94795,0.49189,0.80995,1.10597,0.55243,0.83176,0.000363239,0.000363239,0.000363239
81,11945.3,0.67458,0.9425,0.51218,0.81554,0.9768,0.9607,0.99171,0.76344,0.94594,0.9314,0.95625,0.47602,0.83068,1.11769,0.56196,0.83294,0.000346736,0.000346736,0.000346736
82,12086.7,0.72255,0.9933,0.52453,0.81606,0.97309,0.96264,0.99182,0.77234,0.94625,0.93718,0.9598,0.48553,0.8039,1.06839,0.55763,0.83053,0.000330233,0.000330233,0.000330233
83,12226.4,0.66754,0.94353,0.51201,0.81322,0.9661,0.97538,0.99215,0.77741,0.94728,0.9565,0.97432,0.51775,0.77009,1.04342,0.54765,0.82869,0.000313729,0.000313729,0.000313729
84,12366.8,0.672,0.94262,0.51696,0.82077,0.97334,0.97175,0.99213,0.77636,0.95811,0.95673,0.97863,0.53787,0.7766,1.05014,0.54814,0.82962,0.000297226,0.000297226,0.000297226
85,12504.2,0.67131,0.92387,0.50686,0.81721,0.97336,0.97253,0.99214,0.77139,0.95814,0.95742,0.97903,0.54644,0.79212,1.06002,0.54895,0.83143,0.000280723,0.000280723,0.000280723
86,12644.7,0.66584,0.93238,0.51485,0.8151,0.97343,0.96958,0.99227,0.76619,0.95053,0.94978,0.97165,0.53252,0.80614,1.09073,0.54774,0.8335,0.00026422,0.00026422,0.00026422
87,12783.1,0.67233,0.89765,0.5181,0.81844,0.97339,0.97366,0.99226,0.76926,0.95059,0.95099,0.97152,0.52722,0.80432,1.09173,0.54336,0.83354,0.000247716,0.000247716,0.000247716
88,12920.4,0.64251,0.91385,0.5047,0.81142,0.97343,0.9751,0.99235,0.77772,0.95446,0.95627,0.97476,0.52269,0.78653,1.05822,0.53921,0.83125,0.000231213,0.000231213,0.000231213
89,13058.6,0.64682,0.91608,0.50003,0.81838,0.98833,0.96623,0.99315,0.7824,0.96889,0.94747,0.97524,0.52747,0.76894,1.03074,0.53811,0.82947,0.00021471,0.00021471,0.00021471
90,13192.2,0.59889,0.84592,0.49856,0.81081,0.98304,0.96578,0.99296,0.78221,0.97202,0.94297,0.97991,0.53506,0.76752,1.02474,0.5406,0.82921,0.000198206,0.000198206,0.000198206
91,13316.9,0.60446,0.77787,0.49232,0.80556,0.97324,0.96817,0.99303,0.77814,0.97258,0.93916,0.97994,0.5299,0.77994,1.02633,0.54445,0.83005,0.000181703,0.000181703,0.000181703
92,13436.2,0.6517,0.90775,0.52995,0.8122,0.97198,0.97719,0.99276,0.77321,0.95666,0.96198,0.97963,0.53015,0.78962,1.03209,0.546,0.8303,0.0001652,0.0001652,0.0001652
93,13560.5,0.58818,0.80382,0.49173,0.81188,0.98091,0.97672,0.99294,0.77487,0.958,0.9539,0.97045,0.52343,0.7857,1.0373,0.54423,0.83013,0.000148696,0.000148696,0.000148696
94,13683.3,0.62263,0.86766,0.50707,0.8149,0.98466,0.9762,0.99302,0.78026,0.96165,0.95346,0.97047,0.52886,0.7726,1.03144,0.5422,0.8295,0.000132193,0.000132193,0.000132193
95,13805,0.59441,0.8613,0.49681,0.80932,0.98092,0.97338,0.99299,0.78539,0.95793,0.95057,0.97027,0.52893,0.76387,1.02331,0.53866,0.829,0.00011569,0.00011569,0.00011569
96,13926.2,0.60156,0.82324,0.50895,0.80792,0.98088,0.97518,0.99309,0.78242,0.96175,0.95617,0.9755,0.54071,0.76612,1.01946,0.53892,0.82933,9.91865e-05,9.91865e-05,9.91865e-05
97,14047.5,0.59892,0.84466,0.50595,0.81144,0.98395,0.97719,0.99385,0.7805,0.96471,0.95817,0.97636,0.54309,0.77232,1.0202,0.5385,0.83028,8.26832e-05,8.26832e-05,8.26832e-05
98,14168.2,0.59014,0.82719,0.48927,0.80622,0.98614,0.97719,0.99378,0.78217,0.96689,0.95817,0.9763,0.54595,0.77352,1.02025,0.53792,0.83051,6.61799e-05,6.61799e-05,6.61799e-05
99,14288.7,0.61535,0.86286,0.51159,0.80574,0.98571,0.97719,0.99375,0.78517,0.96653,0.95817,0.97608,0.5418,0.77039,1.01964,0.53518,0.83008,4.96766e-05,4.96766e-05,4.96766e-05
100,14410.6,0.5918,0.83642,0.48845,0.81287,0.98587,0.97719,0.99372,0.78593,0.96663,0.95817,0.97596,0.5379,0.76671,1.02037,0.53271,0.82954,3.31733e-05,3.31733e-05,3.31733e-05
